File name;Alliance 2-Ball Trench.Question013;Alliance 3-Ball Trench.Question012;Auton High Goal.Question010;Auton Low Goal.Question011;Climb Position Middle .Question034;Climb Position Right.Question035;Climbed Position Left.Question033;Climbed.Question032;Crossed initiation line.Question009;Defense.Question037;Did Position Control.Question043;Did Rotation Control.Question042;High Goal Cycles.Question022;High Goal Cycles.Question023;High Goal Cycles.Question024;High Goal Cycles.Question025;High Goal Cycles.Question026;Load Cycles.Question017;Load Cycles.Question018;Load Cycles.Question019;Load Cycles.Question020;Load Cycles.Question021;Low Goal Cycles.Question027;Low Goal Cycles.Question028;Low Goal Cycles.Question029;Low Goal Cycles.Question030;Low Goal Cycles.Question031;Match#.Question001;Match#.Question002;Match#.Question003;Opponent 2-Ball Trench.Question016;Opponent 3-Ball Trench .Question015;Pick-Up.Question038;Played Defense.Question041;Position Control.Question040;Position.Question008;Rendezvous.Question014;Rotation Control.Question039;Speed.Question036;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007
330;;;3;;;;1;1;1;1;;;;;01;;;01;;01;;;;;;;;0;5;3;;;1;;1;B1;;1;1;1;1;8;8
331;;;;;;;;0;1;1;;;;;01;;01;;;;;;;;;;;0;5;3;;;1;;1;B2;;1;2;4;6;8;0
321;;;;;;;;0;1;1;;;;;01;;01|02;;;;01|02;;;;;;;0;5;2;;;1;;1;B1;;1;1;6;6;1;6
332;;;;;;;;0;0;1;;;;;;;;;;01|02;;;;;;01;01;0;5;3;;;1;;1;B3;;1;1;7;7;8;8
322;;;5;;;;;1;1;1;;;;;01;01;01;;01;;;;;;;;;0;5;2;;;1;;1;B2;;1;1;1;7;1;8
323;;;;;;;1;1;1;1;;;;;;01;01;;;01|02;01;;;;;;;0;5;2;;;1;;1;B3;;1;1;3;5;3;9
324;;;;;;;;0;0;1;;;;;;;;;;;;;;;01;;;0;5;2;;;1;;1;R1;;1;1;6;5;6;7
325;;1;3;;;;;0;1;1;;;;;01|02;01;01|02;;;01|02|03;01;01;;;;;;0;5;2;;;2;;1;R2;1;1;2;5;8;4;3
326;;;;;;;;0;1;1;;;;;;;;;;;;;;;;;;0;5;2;;;1;1;1;R3;;1;0;8;3;9;8
327;;;2;;;;;0;1;1;;;;;01;01;;;;;;;;;;;;0;5;3;;;1;;1;R1;;1;1;0;1;3;5
328;1;1;2;;;;;0;1;1;;;;;01;01;01;;;01;01;;;;;;;0;5;3;;;2;;1;R2;;1;2;0;2;1;7
329;;;;;;;;0;0;1;;;;;;;;;01;;01;;;;01;01;;0;5;3;;;0;;1;R3;;1;0;5;5;0;2
